Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
L_SW1,SW_PUSH,SKQG-1155865,27.78125,-114.3,0,top
SW1,SW_PUSH,SKQG-1155865,391.31875,-114.3,0,top
