Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
L_SW1,SW_PUSH,SKQG-1155865,27.781250,-114.300000,0.000000,top
SW1,SW_PUSH,SKQG-1155865,391.318750,-114.300000,0.000000,top
