Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D_H1,SMD_123,D_SOD-123,212.725,-74.6125,90,bottom
D_I1,SMD_123,D_SOD-123,246.0625,-55.5625,90,bottom
D_J1,SMD_123,D_SOD-123,231.775,-74.6125,90,bottom
D_K1,SMD_123,D_SOD-123,250.825,-74.6125,90,bottom
D_L1,SMD_123,D_SOD-123,269.875,-74.6125,90,bottom
D_LArrow1,SMD_123,D_SOD-123,336.55,-117.475,90,bottom
D_LBrace1,SMD_123,D_SOD-123,303.2125,-55.5625,90,bottom
D_LThan1,SMD_123,D_SOD-123,260.35,-93.6625,90,bottom
D_M1,SMD_123,D_SOD-123,241.3,-93.6625,90,bottom
D_Minus1,SMD_123,D_SOD-123,293.6875,-36.5125,90,bottom
D_N1,SMD_123,D_SOD-123,222.25,-93.6625,90,bottom
D_Num0,SMD_123,D_SOD-123,274.6375,-36.5125,90,bottom
D_Num1,SMD_123,D_SOD-123,103.1875,-36.5125,90,bottom
D_Num2,SMD_123,D_SOD-123,122.2375,-36.5125,90,bottom
D_Num3,SMD_123,D_SOD-123,141.2875,-36.5125,90,bottom
D_Num4,SMD_123,D_SOD-123,160.3375,-36.5125,90,bottom
D_Num5,SMD_123,D_SOD-123,179.3875,-36.5125,90,bottom
D_Num6,SMD_123,D_SOD-123,198.4375,-36.5125,90,bottom
D_Num7,SMD_123,D_SOD-123,217.4875,-36.5125,90,bottom
D_Num8,SMD_123,D_SOD-123,236.5375,-36.5125,90,bottom
D_Num9,SMD_123,D_SOD-123,255.5875,-36.5125,90,bottom
D_O1,SMD_123,D_SOD-123,265.1125,-55.5625,90,bottom
D_P1,SMD_123,D_SOD-123,284.1625,-55.5625,90,bottom
D_Plus1,SMD_123,D_SOD-123,312.7375,-36.5125,90,bottom
D_Q1,SMD_123,D_SOD-123,112.7125,-55.5625,90,bottom
D_R1,SMD_123,D_SOD-123,169.8625,-55.5625,90,bottom
D_RArrow1,SMD_123,D_SOD-123,374.65,-117.475,90,bottom
D_RBrace1,SMD_123,D_SOD-123,322.2625,-55.5625,90,bottom
D_RThan1,SMD_123,D_SOD-123,279.4,-93.6625,90,bottom
D_S1,SMD_123,D_SOD-123,136.525,-74.6125,90,bottom
D_Shift1,SMD_123,D_SOD-123,96.04375,-93.6625,90,bottom
D_Shift2,SMD_123,D_SOD-123,324.64375,-93.6625,90,bottom
D_Slash1,SMD_123,D_SOD-123,298.45,-93.6625,90,bottom
D_Space1,SMD_123,D_SOD-123,155.575,-112.7125,90,bottom
D_Space_2,SMD_123,D_SOD-123,186.53125,-112.7125,90,bottom
D_Space_3,SMD_123,D_SOD-123,224.63125,-112.7125,90,bottom
D_Space_4,SMD_123,D_SOD-123,253.20625,-112.7125,90,bottom
D_T1,SMD_123,D_SOD-123,188.9125,-55.5625,90,bottom
D_Tab1,SMD_123,D_SOD-123,88.9,-55.5625,90,bottom
D_U1,SMD_123,D_SOD-123,227.0125,-55.5625,90,bottom
D_UArrow1,SMD_123,D_SOD-123,355.6,-98.425,90,bottom
D_V1,SMD_123,D_SOD-123,184.15,-93.6625,90,bottom
D_W1,SMD_123,D_SOD-123,131.7625,-55.5625,90,bottom
D_Win1,SMD_123,D_SOD-123,374.65,-98.425,90,bottom
D_X1,SMD_123,D_SOD-123,146.05,-93.6625,90,bottom
D_Y1,SMD_123,D_SOD-123,207.9625,-55.5625,90,bottom
D_Z1,SMD_123,D_SOD-123,127,-93.6625,90,bottom
R1,10k,R_0805_2012Metric,364.363,-32.258,270,bottom
R2,10k,R_0805_2012Metric,364.363,-36.322,90,bottom
R3,10k,R_0805_2012Metric,369.062,-34.3135,270,bottom
R4,10k,R_0805_2012Metric,49.65192,-32.4866,270,bottom
R5,10k,R_0805_2012Metric,49.65192,-36.06292,90,bottom
R6,10k,R_0805_2012Metric,54.356,-34.798,270,bottom
